product_key,commodity_description,commodity_group,uom,conversion_code,lbs_per_uom
Carpet tileSF,Carpet Tile,1CPT,SQFT,Carpet_Tile_1CPT_SQFT,0.4125
Carpet tileSY,Carpet Tile,1CPT,SQYD,Carpet_Tile_1CPT_SQYD,3.7125
CarpetSF,Carpet Roll,1CBL,SQFT,Carpet_Roll_1CBL_SQFT,0.4125
CarpetSY,Carpet Roll,1CBL,SQYD,Carpet_Roll_1CBL_SQYD,3.7125
LVTSF,LVT,1VNL,SQFT,LVT_1VNL_SQFT,1.156
LVTSY,LVT,1VNL,SQYD,LVT_1VNL_SQYD,10.404
LVPSF,LVP,1VNL,SQFT,LVP_1VNL_SQFT,1.115
LVPSY,LVP,1VNL,SQYD,LVP_1VNL_SQYD,10.035
VCTSF,VCT,1VNL,SQFT,VCT_1VNL_SQFT,1.42
VCTSY,VCT,1VNL,SQYD,VCT_1VNL_SQYD,12.78
