site,siteid,unit,unitclass,freightclass,oldfreightclass,commodity_group,commoditydescription,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Itasca,DIT,CWT,Weight,150,10,1CBL,Carpet Roll,53.14,43.71,32.87,26.1,26.1,18.52,13.47,13.47,13.47,13.47
Itasca,DIT,CWT,Weight,70,100,1CPT,Carpet Tile,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,CWT,Weight,70,40,1VNL,LVT,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,CWT,Weight,70,40,1VNL,LVP,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,CWT,Weight,70,40,1VNL,VCT,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,SQYD,Area,150,10,1CBL,Carpet Roll,0.4386,0.4308,0.423,0.4153,0.4075,0,0,0,0,0
Itasca,DIT,SQYD,Area,70,100,1CPT,Carpet Tile,0.7456,0.7324,0.7192,0.706,0.6928,0,0,0,0,0
Jacksonville,SPJ,CWT,Weight,150,10,1CBL,Carpet Roll,45.29,41.28,232.01,25.74,25.74,20.17,14.95,14.95,14.95,14.95
Jacksonville,SPJ,CWT,Weight,70,100,1CPT,Carpet Tile,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,LVT,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,LVP,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,VCT,22.87,20.85,16.16,13,13,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,SQYD,Area,150,10,1CBL,Carpet Roll,0.4366,0.4249,0.419,0.4102,0.3955,0,0,0,0,0
Jacksonville,SPJ,SQYD,Area,70,100,1CPT,Carpet Tile,0.7422,0.7223,0.7123,0.6974,0.6724,0,0,0,0,0
Norcross,SPN,CWT,Weight,150,10,1CBL,Carpet Roll,24.24,22.09,16.42,12.39,12.39,9.85,7.42,7.42,7.42,7.42
Norcross,SPN,CWT,Weight,70,100,1CPT,Carpet Tile,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,CWT,Weight,70,40,1VNL,LVT,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,CWT,Weight,70,40,1VNL,LVP,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,CWT,Weight,70,40,1VNL,VCT,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,SQYD,Area,150,10,1CBL,Carpet Roll,0.3202,0.3118,0.2992,0.2908,0.2823,0,0,0,0,0
Norcross,SPN,SQYD,Area,70,100,1CPT,Carpet Tile,0.5444,0.5301,0.5086,0.4943,0.48,0,0,0,0,0
Tampa,SPT,CWT,Weight,150,10,1CBL,Carpet Roll,50.23,45.79,35.51,28.54,28.54,22.37,16.57,16.57,16.57,16.57
Tampa,SPT,CWT,Weight,70,100,1CPT,Carpet Tile,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,CWT,Weight,70,40,1VNL,LVT,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,CWT,Weight,70,40,1VNL,LVP,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,CWT,Weight,70,40,1VNL,VCT,25.37,23.13,17.94,14.41,14.41,11.3,9.42,9.42,9.42,9.42
Tampa,SPT,SQYD,Area,150,10,1CBL,Carpet Roll,0.4608,0.4497,0.4424,0.435,0.4166,0,0,0,0,0
Tampa,SPT,SQYD,Area,70,100,1CPT,Carpet Tile,0.7834,0.7646,0.752,0.7394,0.7082,0,0,0,0,0
Longwood,SPW,CWT,Weight,150,10,1CBL,Carpet Roll,50.23,45.79,35.51,28.54,28.54,22.37,16.57,16.57,16.57,16.57
Longwood,SPW,CWT,Weight,70,100,1CPT,Carpet Tile,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,CWT,Weight,70,40,1VNL,LVT,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,CWT,Weight,70,40,1VNL,LVP,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,CWT,Weight,70,40,1VNL,VCT,25.37,23.13,17.94,14.14,14.14,11.3,9.42,9.42,9.42,9.42
Longwood,SPW,SQYD,Area,150,10,1CBL,Carpet Roll,0.4521,0.4412,0.4339,0.4267,0.4086,0,0,0,0,0
Longwood,SPW,SQYD,Area,70,100,1CPT,Carpet Tile,0.7685,0.75,0.7377,0.7254,0.6946,0,0,0,0,0
