SITE DESCRIPTION,COUNT_PO_5504,TOTAL_INVOICE_LINE_5504
Spectra Longwood,1159,380312.660000
Spectra Tampa,957,274153.900000
Diverzify Itasca,528,258569.350000
Spectra Houston,846,249545.650000
Spectra Coppell,434,242230.560000
Floor Sol Union,1438,205914.060000
Spectra Norcross,788,181475.650000
Spectra Tempe,472,176385.770000
Spectra W Valley Cty,595,167200.190000
Spectra Jacksonville,377,117103.730000
Contract Carpet Sol,475,108924.780000
Spectra Tukwila,180,81297.150000
Kenny Floor Covering,428,74516.140000
Spectra Louisville,267,72982.280000
Spectra Tigard,192,71748.000000
Spectra Lockland,296,71656.370000
Spectra Harrisburg,210,69801.090000
Spectra Pelham,280,66474.800000
Diverzify Cincinnati,214,55502.630000
Spectra Los Angeles,254,54995.880000
Spectra Denver,203,53191.560000
Spectra San Antonio,156,43090.980000
Div National Accts,102,42176.430000
Pavillion Floors,162,41694.820000
Spectra Huntsville,128,30962.070000
ProSpectra Ceritos,35,26827.370000
Beckers New Brighton,109,24962.320000
Contract Carpet Gov,92,23308.260000
Floor Sol Greensboro,149,21905.670000
Continental Floors,72,21398.240000
SCF - Fithian,71,19302.810000
RD Weis Hawthorn,71,18184.420000
Spectra Austin,28,17915.230000
ProSpectra Poway,47,17478.380000
Floor Sol Charleston,76,17228.800000
Diverzify St. Louis,92,14935.270000
Floor Sol New Hanovr,113,13603.970000
Spectra Columbus,60,12694.780000
Spectra Sterling,49,12116.470000
Beckers Saint Cloud,17,7665.300000
Wright,8,4843.860000
Diverzify Indy,21,3484.810000
ProSpectra Union Cty,14,2635.710000
ProSpectra Las Vegas,11,2086.110000
Diverzify HQ,1,1849.170000
