site,commodity_group,avg_freight_ratio,avg_rate_ratio
DIT,1CBL,0.7718181818181818,0.7706818181818181
DIT,1VNL,1.6294,1.624
PVF,1CBL,0.8729411764705882,0.8705882352941177
PVF,1VNL,1.4774468085106383,1.4736170212765958
SPCP,1CBL,0.698,0.6952857142857143
SPCP,1VNL,1.561435185185185,1.5566666666666666
SPHU,1CBL,0.9562686567164178,0.9564179104477611
SPHU,1VNL,1.9315915915915918,1.9335735735735735
SPJ,1CBL,0.7863414634146342,0.7858536585365853
SPJ,1VNL,1.2801923076923076,1.269423076923077
SPN,1CBL,0.9996969696969698,1.0199999999999998
SPN,1VNL,1.7204032258064517,1.7524731182795699
SPT,1CBL,0.5950943396226415,0.589433962264151
SPT,1VNL,1.4890869565217393,1.5129347826086958
SPTM,1CBL,1.2963636363636364,1.2936363636363637
SPTM,1VNL,2.1513636363636364,2.1426136363636363
SPW,1CBL,0.59,0.5885135135135134
SPW,1VNL,1.4236530612244898,1.430326530612245
